"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2704.28836736651","2855.85847722174","3279.75969657351","3983.55012721003","5371.58591152151","5835.3556137641","6238.56961302278","6372.45461920592","6769.14767282713","7450.57847034608","8258.10259723196","9780.53107337074","10331.470531249","9428.53322703318","10116.8549430385","9163.12810347607","9096.68662811049","9292.55097005903","11497.8389870602","14205.0749801848","14189.3959995713","14677.2361277805","14505.1641848484","13988.99589591","14446.7427931858","16123.7595235258","17415.246109837","18699.1582057528","17037.8301452952","16389.7988003761","17075.2817819924","15460.8923550013","15978.5190923006","18733.2652984839","24188.9833375508","26373.8514953695","27718.1212655989","30947.3826130415","37468.948436066","33066.2760274087","39898.81567799","47596.4543095428","52383.7778712915","52646.4015515231","47779.6234525916","44026.9558873624","38859.3225834615","","",
"Austria","AUT","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1762.79950578741","2036.33224611016","2500.53525472546","3336.11663722651","3963.76454257777","4505.24174057289","4861.57402863779","5805.31285028348","6962.49827098564","8321.07714512799","9180.40368672323","7869.49572082204","7897.97558755669","8041.65565067704","7573.59025616785","7743.07880063809","11021.4217645722","13795.6078649803","14885.6283711613","14801.1472427975","18411.3591943634","18911.5000593569","21001.6775242729","20253.9373179179","21552.478249848","25393.1908809177","25033.9699335477","22289.8102309721","22793.8709975807","22351.6997753386","20343.7091684495","20129.6813639932","21823.9193772201","26670.9907296689","30566.1425946091","31853.4043966202","33972.027963007","39120.4947851016","43481.224516174","39513.9003280415","39008.1800941174","42588.8512779229","39997.0001649632","41697.6759038182","42397.7962288615","35926.9451104537","36635.9019133386","","",
"Azerbaijan","AZE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450.581079780317","408.352816827933","358.256861834679","435.20482392662","550.775784830398","643.944702560184","738.092303228249","944.237790884393","1322.07730258274","2048.95475094972","3307.21306847549","3405.00394771271","3920.78733843074","4639.03639216175","5151.25226309801","5774.79398879625","6106.65100856436","4478.77290178201","2874.76119523013","","",
"Burundi","BDI","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","173.221543354467","179.699088070602","174.251066684788","189.818277141106","166.545095909867","189.860028952547","186.202001082464","165.440024174421","152.896268433434","152.918264421169","147.469748404212","151.447995234377","134.564999710803","113.893831880903","106.171340826561","101.230710469783","79.3193167210449","95.6675266609072","83.2777380290292","87.9727046115617","96.8748772805567","86.4839263446759","72.4504128355254","47.8941289853916","65.3917947918825","84.4403828579918","101.478383998826","90.8944198386605","104.249451673596","114.085672732798","146.821719432346","166.024983063782","190.125963882711","205.523557541261","232.152576698345","217.507402955128","201.700607756516","","",
"Belgium","BEL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","2419.86881151945","2701.93778701203","3362.35270588825","4323.64987849004","5042.87244793345","5898.61383643827","6418.99056287906","7391.70219439741","9015.3592046003","10284.5985587367","10930.7059356369","8949.64197170267","7833.48695646352","7414.73344118972","7149.97757748849","7434.34820592319","10390.1029574627","12995.9659013011","14151.8429289744","14232.7333873614","17765.9613426812","18165.5738546239","20133.8938396094","19341.9938587359","21211.9927357413","24706.3434930554","23876.7631095128","21588.4806734416","21983.9156170692","21795.6868557652","19909.3578781604","19603.3882018697","21195.6923327078","25914.5422949602","29889.280054393","30897.3146267815","32397.5373971021","36996.747667087","40502.6465008891","36229.7626130766","37235.1867356416","38914.502545839","37016.746200807","38156.637139856","38455.0698444063","32465.900800307","33307.8218674502","","",
"Benin","BEN","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","106.317540877992","127.821361279794","154.39741483332","166.67925751526","196.774812535834","195.406294654785","205.504299903962","246.565323195878","306.755945027978","352.444996849435","315.013247108762","294.47807594582","245.821870667811","226.879653281526","218.414886374088","273.322996600041","307.843715986041","311.785293619","273.900405031884","347.021903970358","341.124435966021","272.346709955013","358.073654891115","235.643159732833","309.299511517469","321.665862078317","298.29739462841","315.483605142854","337.761560633742","315.598738719151","320.332038600651","355.006480105299","440.663993655464","498.092603410607","517.423568162463","534.092297854997","598.25197602583","697.505449875002","668.803093510125","637.332426877331","697.191040073486","702.233972063382","765.847108566977","789.730631457506","655.328293684515","656.848007579973","","",
"Burkina Faso","BFA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","263.832329914141","235.374286216413","224.508204957683","198.647664263463","175.665981374107","183.208175529275","233.135985024588","262.606883936914","281.272674690225","273.127985676656","313.73194152558","308.588003780212","210.90610560702","214.43281642542","164.460944689723","199.055087039923","213.593555151724","195.830387078652","218.809373842787","238.56169095511","205.944840645522","214.723535840565","238.23243002831","302.797156973093","333.053267876148","360.594347178485","372.329280290793","411.59417793912","484.388181956506","460.70978282696","454.632632362013","500.947465011838","517.381435380289","541.534408618251","534.525076317132","414.970219745857","455.142981811036","","",
"Bangladesh","BGD","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","108.536606207121","165.682233715533","250.200787890064","126.620844174767","115.348366059416","155.603168806593","179.205384894083","203.801893943474","225.740349243297","200.599691875653","188.428402441264","197.345222019163","223.995915288432","213.398819665028","232.737847947002","247.433125236884","261.179094288789","278.804613651478","267.167208512338","268.013927538337","275.255859242745","275.433394017399","302.607043917808","360.867445533449","368.274421108675","374.15370154332","376.883614125371","384.883340550915","380.727835920251","382.745665460556","413.513571274317","441.912879791521","463.6495680171","472.503831888232","521.835601264884","601.674491331877","669.669142310555","745.568309881559","819.295655032961","844.315398737765","936.874554788819","1052.56807631559","1173.70148579747","1310.14775227782","","",
"Bulgaria","BGR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1885.65169123682","1893.00442947925","1838.1478330374","1579.56727296391","1682.07531594965","1634.51422900493","1930.93739762114","2663.73491779788","2090.62621808719","2031.89615810232","1834.65693838166","953.41612203795","1027.87139582464","1077.76436781043","997.570263950873","1350.49753087342","1049.69161517346","1201.39589542069","1520.98280512469","1359.28816908902","1356.42773319097","1536.09654622809","1847.66385970172","2357.31887065623","2924.88706532862","3318.31986714747","3704.6078265379","4634.1866567574","5974.13412261274","5802.64381924802","5580.35004360687","6348.5047004608","6166.98322575723","6391.00510402202","6563.61517210354","5797.3397623853","6326.07510423208","","",
"Bahrain","BHR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","6454.61618619576","7621.36031570785","7685.12957025182","7431.96103528402","7641.15469839198","5865.4488197632","5014.42315548346","5354.2399544888","5604.59744098299","5543.18377098587","5610.80852275655","8125.21243304311","7846.14007096479","7991.52527395757","8329.64253161481","8910.46844481365","9133.95787902706","8910.90675330081","8581.43160572428","8619.89616458024","11490.8838420436","10680.0111672611","10772.7825416491","11896.0509268379","13356.9819440338","15457.0864502416","16666.0474624369","18387.6257838384","19699.6736876147","15398.5132435656","16772.5021669851","17231.3765812381","17800.8709009824","18595.2832383288","17677.6341845155","19133.7827307394","18906.705141207","","",
"Bahamas, The","BHS","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","5504.55529003337","5657.27319335749","6240.04660876999","6689.33313219689","7729.33689645823","8683.88451102941","9063.1100368544","9835.25011627027","10110.8566254466","11015.2791464809","11000.5422090399","10631.8326797654","10753.1275539849","10296.3414449204","10580.5876250584","13135.4653667998","14944.9952593897","15761.7518307913","17397.4600526015","18967.3939978403","19493.1305498344","19709.0799878579","20641.3370348297","20257.4789403576","20243.1004056058","21332.2923248321","21434.3356327563","22010.2982203804","21739.2684498543","20039.730211815","19702.6488941053","19385.3167909687","26250.4088203473","25507.6955167884","25175.3688541193","25421.2345492636","24603.4414118227","","",
"Bosnia and Herzegovina","BIH","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250.151391588642","392.345694998207","653.283538908374","875.991731724781","1261.53391438363","1378.47713178423","1535.1090877138","1575.00992691215","1785.64732144972","2197.43146755998","2559.15239959233","2826.94183750982","3188.46436168183","3823.54366728209","4665.76996194363","4316.48872165621","4106.10898153575","4402.58328008379","4068.26736870624","4416.73957507469","4520.22285622162","3968.58875183295","4130.21114876374","","",
"Belarus","BLR","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1437.19935219299","1377.10616435961","1152.20980807553","1063.91197865038","1140.49851090698","1113.18864168596","1235.30053847462","1001.3086727313","1076.87716879967","1063.70997378071","1288.60547115311","1613.5400285506","2124.23539912373","2795.05173513633","3429.68369697859","4205.74509439703","5684.19513047937","4561.68793172233","5364.95131277853","5802.18208694564","6169.45177139713","7005.54898938277","7335.55264188975","5170.60247118984","4297.00763308971","","",
"Belize","BLZ","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1262.92745063312","1214.77514753333","1067.36170569053","1090.72086275068","1140.12150149069","1117.61403314702","1239.93521652649","1438.42749963278","1601.14618942288","1806.02717625321","2013.22904475531","2122.4402318833","2421.73772811189","2573.60777395372","2614.37732045163","2735.37008902924","2740.45088091094","2711.31089016466","2723.09746941965","2727.46353909588","2664.12749566686","2657.04495399161","2781.47928367801","2811.26258335729","2849.35200081217","2944.45603789968","3038.5857751509","3010.32412153701","3006.60699844765","3131.31103563549","2984.17015968368","3220.02865601825","3386.51910437192","3435.40821503058","3616.47032026136","3799.85231065635","3676.39032745949","","",
"Bermuda","BMU","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","219.031726832671","232.924329288244","260.480669490052","252.988664764259","395.652610862274","457.178576069573","507.921110758109","576.958736076498","652.825643397624","721.851965830591","692.974122891544","987.800709501402","793.665817112057","781.025626636409","846.51109639421","719.772614969475","526.549718567524","576.680256980996","590.262992199207","589.953581943631","601.3164301221","668.203046954127","700.987124879338","699.610099974737","720.193940053493","793.990647160512","865.5182408527","906.397661243297","964.41298860412","905.410399633575","878.813337131874","843.084403896634","805.408046643224","797.095582401158","819.071861181516","846.441129270473","961.726548646291","1063.34096387457","1379.2411322303","1452.92670338274","1588.68205109589","1833.53147004984","1985.48862379991","2210.85072009788","2355.33394899694","2484.4957299105","2528.41688218011","","",
"Brazil","BRA","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","399.728034112977","454.783053405801","528.026616648522","693.051329977584","896.065942358435","1015.53578248374","1218.5035246847","1374.7763247803","1515.86143212707","1643.70916651499","1645.7777885388","1787.6377657027","1843.87535995975","1268.91313015362","1280.40479267867","1331.77567315888","1595.59066059224","1731.90665839725","1909.73454661981","2694.18939045877","2616.9047128327","3405.08953397253","2237.51617788853","2390.67267124923","2946.54364301567","4131.72800285228","4453.803509468","4520.75064838208","4292.05726175307","2891.05030237806","3106.68689102585","2613.25658906224","2339.05134020487","2537.94144183837","2992.16237141717","3926.94341557844","4806.54811367964","5959.9096726133","7074.71433204107","7067.61754514305","9348.34906997063","10958.8972760032","10326.0368188946","10403.0257440698","10151.5430671103","7460.85652363244","7352.15664353063","","",
